energies,initx,inity,initz,tot_dist,dEdx,beta_gamma
1993.72,-31.4172,572.275,-401.194,1147.18,0.000192107,19.8443
1995.69,486.55,-498.121,437.009,1108.49,0.00019213,19.863
1995.06,-1075.01,20.8705,-751.992,1145.27,0.000192122,19.857
1995.2,393.022,-1017,73.1392,940.621,0.000192124,19.8583
1995.16,1055.45,-65.0596,-563.666,1063.89,0.000192123,19.858
1989.88,-425.579,-770.243,-310.538,995.377,0.000192062,19.8079
4.98549,-96.956,-142.39,-50.3378,1056.4,0.00110212,10.7098
1.18493,-131.846,90.6453,104.379,2176.04,0.00358078,inf
1999.8,528.279,650.719,-1052.07,1204.11,0.000192177,19.902
1994.52,345.323,865.017,-759.468,1212.19,0.000192116,19.8518
1993.24,-136.424,-926.63,781.629,1223.21,0.000192101,19.8398
0.594201,-40.045,-154.908,133.121,1235.37,0.0062626,1.91776
0.220063,-38.4196,-155.319,130.411,1238.2,0.0134537,1.02312
0.197866,-37.7526,-155.482,127.696,1294.39,0.0145322,0.961439
0.187793,-37.7622,-155.48,78.9194,1298.22,0.0150778,0.93277
0.179191,-37.279,-155.597,75.1983,1303.5,0.0155841,0.907913
1995.58,572.405,-805.197,-229.108,963.372,0.000192128,19.8619
1995.46,-929.311,478.653,642.929,1102.53,0.000192127,19.8608
1994.55,-591.029,-668.176,-589.018,1125.26,0.000192116,19.8522
1994.77,-992.89,160.643,-74.1755,941.063,0.000192119,19.8543
1980.52,-394.51,90.4841,262.337,1119.24,0.000191954,19.7192
0.794643,-154.796,40.4746,103.945,1127.46,0.00495758,2.35126
0.324561,-153.487,45.1867,106.575,1131.24,0.0100554,1.29372
0.510999,-154.202,42.6828,115.163,1191.98,0.0070606,inf
0.510999,-183.708,-49.6693,245.142,2312.46,0.0070606,inf
0.179123,-390.84,-683.391,1142.81,4086.78,0.0155883,inf
0.106297,-797.239,752.081,190.091,5441.76,0.0222063,inf
0.100137,-41.6273,154.49,8.80821,6831.57,0.0230808,inf
0.0723251,-1092.35,89.3117,914.936,9671.23,0.0281795,inf
0.0614641,759.218,-468.165,-1165.07,10077,0.0309071,inf
11.5917,-184.381,11.1487,132.725,10171.6,0.00056955,23.6633
11.5703,-169.485,41.1376,193.14,10220.6,0.000570338,23.6213
1995.37,303.029,-596.127,-299.282,1027.58,0.000192126,19.8599
1999.78,-208.894,-708.267,-1129.15,961.14,0.000192177,19.9018
1995,-172.219,-994.557,-323.681,985.743,0.000192121,19.8564
1994.36,-991.89,11.5542,-572.081,1083.74,0.000192114,19.8504
1999.8,824.261,599.581,-1059.17,1342.05,0.000192177,19.902
1996.19,-784.751,-572.035,-69.0618,940.883,0.000192135,19.8678
1994.78,-711.928,769.537,-481.196,1033,0.000192119,19.8544
1999.81,731.149,315.52,-1027.04,1169.89,0.000192177,19.902
1993.75,987.812,-445.147,-1011.7,1284.65,0.000192107,19.8446
1999.79,-582.606,-376.533,980.137,1057.36,0.000192177,19.9018
1995.33,631.059,-823.29,562.191,1067.88,0.000192125,19.8596
1995.71,-496.194,-922.122,-38.826,939.186,0.00019213,19.8632
1999.82,-213.453,-469.427,874.519,824.62,0.000192177,19.9022
1996.05,-679.58,408.649,-131.398,951.353,0.000192134,19.8664
1995.4,588.587,922.84,424.124,1006.55,0.000192126,19.8602
1996.05,-82.7157,-981.982,-54.8228,939.875,0.000192134,19.8664
1996.27,601.44,843.113,-2.76198,938.509,0.000192136,19.8684
1995.86,-75.6925,-1060.02,-477.4,1028.95,0.000192131,19.8646
1996.13,781.038,-443.707,54.472,940.27,0.000192135,19.8672
1999.9,-157.848,-317.963,611.795,801.099,0.000192178,19.9028
1989.28,137.447,1002.45,-313.318,982.386,0.000192055,19.8023
2.09744,32.4818,157.938,-50.9085,996.85,0.00223913,5.00567
0.871124,24.7059,158.081,-50.395,1003.68,0.00460188,2.5131
0.145031,19.7749,158.773,-51.1741,1006.29,0.0180458,0.805102
0.109638,18.6986,158.904,-53.2879,1008.13,0.0217646,0.689309
0.0755254,17.4907,159.15,-80.183,1042.84,0.0274818,0.563422
1993.31,-652.222,-556.745,-457.129,1064.34,0.000192102,19.8404
0.350272,-129.961,-93.3282,-79.9474,2321.93,0.0094839,inf
0.190937,-830.084,-715.665,-51.9902,3040.03,0.0149032,inf
0.143645,-129.755,-93.614,-83.3734,4044.64,0.0181638,inf
0.0947284,-813.14,-734.86,-443.826,6160.68,0.0239128,inf
1995.45,320.693,-971.152,484.068,1038.81,0.000192127,19.8607
1995.07,-823.424,-709.665,-724.163,1128,0.000192122,19.8571
1995.44,1052.67,-83.6842,-718.369,1135.37,0.000192127,19.8606
1994.79,146.601,907.487,19.5392,938.737,0.000192119,19.8544
1993.66,430.726,-749.809,-419.298,1043.29,0.000192106,19.8437
1995.95,720.314,801.345,-1009.23,1283.7,0.000192132,19.8654
1999.8,-77.7533,474.786,1072.75,299.622,0.000192177,19.9019
1995.64,-1067.51,-183.27,-555.192,1054.75,0.000192129,19.8625
1995.54,-709.345,-731.644,-311.633,981.677,0.000192128,19.8615
1994.76,-726.456,-473.37,-328.018,1003.69,0.000192119,19.8542
1995.87,-1051.15,76.355,-225.879,959.851,0.000192132,19.8646
1999.77,-161.923,954.666,1003.59,1340.6,0.000192177,19.9016
1995.18,-483.339,605.426,250.636,986.782,0.000192124,19.8581
1995.16,-820.042,-546.327,598.87,1098.76,0.000192123,19.858
1995.87,899.62,545.827,3.62392,938.517,0.000192132,19.8647
1995.14,-650.592,-861.137,736.922,1136.57,0.000192123,19.8578
1995.78,196.107,-909.602,-471.123,1052.19,0.00019213,19.8638
1999.4,414.535,461.136,-1032.82,850.309,0.000192172,19.8981
0.153301,425.752,423.87,-1094.38,2171.06,0.0173744,0.830666
1999.8,-396.013,41.5046,925.12,161.682,0.000192177,19.9019
1995.46,-781.951,711.217,-445.824,1018.82,0.000192127,19.8608
1999.81,712.517,124.751,1082.68,987.335,0.000192177,19.9021
1996.26,-57.0102,831.464,50.9084,940.301,0.000192136,19.8684
1995.2,-659.875,272.726,-137.274,955.797,0.000192124,19.8584
1995.57,-750.73,68.7002,-126.088,951.533,0.000192128,19.8619
1992.97,-898.326,217.483,80.8079,942.178,0.000192098,19.8372
1995.53,56.3003,1085.92,386.041,996.111,0.000192128,19.8615
1996.38,-12.3915,-1056.07,1004.29,1292.7,0.000192137,19.8695
1999.86,-349.961,-35.2262,718.403,514.188,0.000192178,19.9025
1995.47,519.621,894.228,-42.998,939.328,0.000192127,19.8609
1996.15,-1050.36,-12.9617,-312.576,979.211,0.000192135,19.8674
1994.19,-815.471,694.916,969.319,1265.54,0.000192112,19.8488
1995.69,813.726,-688.457,387.309,998.804,0.00019213,19.863
1999.78,-914.799,-79.8702,1115.31,1246.55,0.000192177,19.9017
1999.78,267.564,-499.79,1061.19,678.236,0.000192177,19.9017
1995.83,667.109,816.149,49.3087,939.538,0.000192131,19.8643
1999.79,24.9982,964.703,-1137.13,1286.24,0.000192177,19.9018
1995.48,-778.823,449.664,-466.415,1057.58,0.000192127,19.861
1995.01,-462.814,-366.256,281.395,1041.04,0.000192122,19.8565
1994.62,-1022.43,-344.805,-438.372,1013.26,0.000192117,19.8529
1999.81,-669.341,357.757,-872.527,1316.63,0.000192177,19.902
1994.84,-1076.45,49.1603,-971.155,1263.96,0.00019212,19.8549
1994.6,-782.079,610.03,819.227,1218.17,0.000192117,19.8526
3.13149,-881.692,651.026,922.16,1238.63,0.00161012,7.05768
0.0556706,-882.506,649.922,923.875,1688.82,0.0326034,inf
1995.33,156.769,1006.14,-672.18,1125.23,0.000192125,19.8596
